LINE: 333 | tid: 1 wid: 0 | i: 1 j: 1 bk: 0 | k: 3 | 0.007866 0.007874 0.000062 | 130601 8.088445 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 1 bk: 0 | k: 4 | 0.007866 0.007874 0.000062 | 114920 7.117281 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 1 bk: 0 | k: 4 | 0.007866 0.007874 0.000062 | 104959 6.500372 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 1 bk: 0 | k: 5 | 0.007866 0.007874 0.000062 | 109286 6.768353 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 1 bk: 0 | k: 5 | 0.007866 0.007874 0.000062 | 117668 7.287472 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 1 bk: 0 | k: 6 | 0.007866 0.007874 0.000062 | 151032 9.353787 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 1 bk: 0 | k: 6 | 0.007866 0.007874 0.000062 | 136912 8.479300 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 1 bk: 0 | k: 7 | 0.007866 0.007874 0.000062 | 138008 8.547178 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 1 bk: 0 | k: 7 | 0.007866 0.007874 0.000062 | 127817 7.916025 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 2 bk: 0 | k: 0 | 0.007866 0.007866 0.000062 | 105795 6.545798 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 2 bk: 0 | k: 0 | 0.007866 0.007866 0.000062 | 128325 7.939785 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 2 bk: 0 | k: 1 | 0.007866 0.007866 0.000062 | 113340 7.012626 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 2 bk: 0 | k: 1 | 0.007866 0.007866 0.000062 | 140231 8.676439 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 2 bk: 0 | k: 2 | 0.007866 0.007866 0.000062 | 135617 8.390959 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 2 bk: 0 | k: 2 | 0.007866 0.007866 0.000062 | 147158 9.105029 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 2 bk: 0 | k: 3 | 0.007866 0.007866 0.000062 | 133133 8.237268 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 2 bk: 0 | k: 3 | 0.007866 0.007866 0.000062 | 156153 9.661572 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 2 bk: 0 | k: 4 | 0.007866 0.007866 0.000062 | 123623 7.648861 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 2 bk: 0 | k: 4 | 0.007866 0.007866 0.000062 | 134809 8.340966 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 2 bk: 0 | k: 5 | 0.007866 0.007866 0.000062 | 118060 7.304664 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 2 bk: 0 | k: 5 | 0.007866 0.007866 0.000062 | 106595 6.595296 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 2 bk: 0 | k: 6 | 0.007866 0.007866 0.000062 | 146792 9.082384 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 2 bk: 0 | k: 6 | 0.007866 0.007866 0.000062 | 159518 9.869773 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 2 bk: 0 | k: 7 | 0.007866 0.007866 0.000062 | 139295 8.618526 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 2 bk: 0 | k: 7 | 0.007866 0.007866 0.000062 | 126096 7.801871 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 3 bk: 0 | k: 0 | 0.007866 0.007866 0.000062 | 110531 6.838826 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 3 bk: 0 | k: 0 | 0.007866 0.007866 0.000062 | 91984 5.691278 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 3 bk: 0 | k: 1 | 0.007866 0.007866 0.000062 | 96835 5.991421 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 3 bk: 0 | k: 1 | 0.007866 0.007866 0.000062 | 113124 6.999262 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 3 bk: 0 | k: 2 | 0.007866 0.007866 0.000062 | 140537 8.695372 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 3 bk: 0 | k: 2 | 0.007866 0.007866 0.000062 | 110297 6.824348 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 3 bk: 0 | k: 3 | 0.007866 0.007866 0.000062 | 116578 7.212969 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 3 bk: 0 | k: 3 | 0.007866 0.007866 0.000062 | 105559 6.531197 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 3 bk: 0 | k: 4 | 0.007866 0.007866 0.000062 | 89511 5.538267 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 3 bk: 0 | k: 4 | 0.007866 0.007866 0.000062 | 101965 6.308827 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 3 bk: 0 | k: 5 | 0.007866 0.007866 0.000062 | 114589 7.089905 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 3 bk: 0 | k: 5 | 0.007866 0.007866 0.000062 | 89497 5.537401 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 3 bk: 0 | k: 6 | 0.007866 0.007866 0.000062 | 127940 7.915964 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 3 bk: 0 | k: 6 | 0.007866 0.007866 0.000062 | 128942 7.977961 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 3 bk: 0 | k: 7 | 0.007866 0.007866 0.000062 | 136880 8.469104 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 3 bk: 0 | k: 7 | 0.007866 0.007866 0.000062 | 139879 8.654659 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 0 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 121030 7.495689 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 0 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 141685 8.774904 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 0 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 121642 7.533591 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 0 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 152574 9.449287 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 0 bk: 0 | k: 2 | 0.007866 0.007874 0.000062 | 118447 7.335717 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 0 bk: 0 | k: 2 | 0.007866 0.007874 0.000062 | 110318 6.832268 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 0 bk: 0 | k: 3 | 0.007866 0.007874 0.000062 | 102287 6.334888 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 0 bk: 0 | k: 3 | 0.007866 0.007874 0.000062 | 145083 8.985351 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 0 bk: 0 | k: 4 | 0.007866 0.007874 0.000062 | 135261 8.377050 
